Browser,participant,date,expName,psychopyVersion,OS,frameRate,hitPercent,pointsGiven,fixMouse.x,fixMouse.y,fixMouse.leftButton,fixMouse.midButton,fixMouse.rightButton,fixMouse.time,bounceDirArr,ballPosX,ballPosY,paddlePosX,paddlePosY,alphaChoice,pertChoice,horOrTilt,hitOrMiss,trialType,trialsNum,tasksNum,trialRepeat,ballSpeed,interceptBall,interceptPaddle,interceptDelta,wallBounceX,wallBounceY,wallOrient,connectTime,bounceTime,cumulativetime,trialMouse.x,trialMouse.y,trialMouse.leftButton,trialMouse.midButton,trialMouse.rightButton,trialMouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
Chrome,1,2022-11-01_04h34.49.452,bounceV3,2022.2.4,Win32,59.7193192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2022-11-01_04h34.49.452,bounceV3,2022.2.4,Win32,59.7193192,2,0,[],[],[],[],[],[],"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[-0.10579618842507904,-0.10156434088807588,-0.09733249335107272,-0.09310064581406956,-0.0888687982770664,-0.08463695074006324,-0.08040510320306007,-0.07617325566605691,-0.07194140812905375,-0.06770956059205059,-0.06347771305504743,-0.05924586551804427,-0.05501401798104111,-0.05078217044403795,-0.046550322907034786,-0.042318475370031625,-0.038086627833028464,-0.0338547802960253,-0.02962293275902214,-0.02539108522201898,-0.02115923768501582,-0.016927390148012658,-0.012695542611009497,-0.008463695074006336,-0.004231847537003174,-1.214306433183765e-17,0.012761026359875477,0.025522052719750964,0.038283079079626456,0.05104410543950194,0.06380513179937743,0.07656615815925291,0.0893271845191284,0.10208821087900388,0.11484923723887937,0.12761026359875485,0.14037128995863035,0.15313231631850585,0.16589334267838135,0.17865436903825685,0.19141539539813235,0.20417642175800785,0.21693744811788335,0.22969847447775885,0.24245950083763435,0.2552205271975098,0.2679815535573853,0.28074257991726076,0.29350360627713623,0.3062646326370117,0.3190256589968872,0.33178668535676265,0.3445477117166381,0.3573087380765136,0.37006976443638906,0.38283079079626453,0.39559181715614,0.4083528435160155,0.42111386987589094,0.4338748962357664,0.4466359225956419,0.45939694895551736,0.47215797531539283,0.4849190016752683,0.4976800280351438,0.5104410543950193,0.5232020807548948,0.5359631071147704,0.5487241334746459,0.5614851598345214,0.5742461861943969,0.5870072125542725,0.599768238914148,0.6125292652740235,0.625290291633899,0.6380513179937746,0.6508123443536501,0.6635733707135256,0.6763343970734012,0.6890954234332767,0.7018564497931522]","[-0.3,-0.27599999999999997,-0.25199999999999995,-0.22799999999999995,-0.20399999999999996,-0.17999999999999997,-0.15599999999999997,-0.13199999999999998,-0.10799999999999998,-0.08399999999999999,-0.05999999999999999,-0.03599999999999999,-0.01199999999999999,0.01200000000000001,0.03600000000000001,0.06000000000000001,0.08400000000000002,0.10800000000000001,0.132,0.156,0.18,0.204,0.22799999999999998,0.252,0.276,0.30000000000000004,0.276,0.252,0.228,0.20400000000000001,0.18000000000000002,0.15600000000000003,0.13200000000000003,0.10800000000000004,0.08400000000000005,0.060000000000000046,0.036000000000000046,0.012000000000000045,-0.011999999999999955,-0.035999999999999956,-0.059999999999999956,-0.08399999999999996,-0.10799999999999996,-0.13199999999999995,-0.15599999999999994,-0.17999999999999994,-0.20399999999999993,-0.22799999999999992,-0.25199999999999995,-0.27599999999999997,-0.3,-0.324,-0.34800000000000003,-0.37200000000000005,-0.3960000000000001,-0.4200000000000001,-0.4440000000000001,-0.46800000000000014,-0.49200000000000016,-0.5160000000000001,-0.5400000000000001,-0.5640000000000002,-0.5880000000000002,-0.6120000000000002,-0.6360000000000002,-0.6600000000000003,-0.6840000000000003,-0.7080000000000003,-0.7320000000000003,-0.7560000000000003,-0.7800000000000004,-0.8040000000000004,-0.8280000000000004,-0.8520000000000004,-0.8760000000000004,-0.9000000000000005,-0.9240000000000005,-0.9480000000000005,-0.9720000000000005,-0.9960000000000006,-1.0200000000000005]","[-0.4895833333333333,-0.4953125,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.4947916666666667,-0.4822916666666667,-0.46145833333333336,-0.434375,-0.3989583333333333,-0.34791666666666665,-0.29270833333333335,-0.23385416666666667,-0.17760416666666667,-0.12760416666666669,-0.09010416666666667,-0.058854166666666666,-0.0265625,-0.004166666666666667,0.015625,0.026041666666666664,0.030208333333333334,0.0328125,0.033854166666666664,0.03802083333333334,0.04479166666666667,0.05520833333333333,0.06666666666666667,0.07864583333333333,0.09166666666666667,0.109375,0.13958333333333334,0.17083333333333334,0.19427083333333334,0.209375,0.2171875,0.225,0.23958333333333334,0.2572916666666667,0.2734375,0.2875,0.2947916666666666,0.29583333333333334,0.29583333333333334,0.29218750000000004,0.28645833333333337,0.2817708333333333,0.27499999999999997,0.26458333333333334,0.24791666666666667,0.22395833333333331,0.1921875,0.1453125,0.0875,0.03125,-0.022395833333333334,-0.06458333333333333,-0.10052083333333334,-0.1296875,-0.15208333333333335,-0.171875,-0.184375,-0.18645833333333334,-0.1875]","[-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3]",80,9,2,miss,2,1,1,,0.04,0.319025659,0.170833333,0.148192326,-1.21431E-17,0.3,tilt,,,4.541,[],[],[],[],[],[],0,0,0,0,1
,1,2022-11-01_04h34.49.452,bounceV3,2022.2.4,Win32,59.7193192,,0,[],[],[],[],[],[],"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[0.05249319811555451,0.05039347019093233,0.04829374226631015,0.04619401434168797,0.04409428641706579,0.04199455849244361,0.03989483056782143,0.03779510264319925,0.03569537471857707,0.03359564679395489,0.03149591886933271,0.029396190944710528,0.027296463020088348,0.025196735095466168,0.023097007170843988,0.020997279246221807,0.018897551321599627,0.016797823396977447,0.014698095472355267,0.012598367547733087,0.010498639623110907,0.008398911698488727,0.006299183773866547,0.004199455849244367,0.0020997279246221866,6.071532165918825e-18,-0.01018739558903051,-0.020374791178061027,-0.03056218676709154,-0.040749582356122055,-0.05093697794515257,-0.06112437353418308,-0.0713117691232136,-0.08149916471224412,-0.09168656030127464,-0.10187395589030517,-0.11206135147933569,-0.1222487470683662,-0.13243614265739673,-0.14262353824642723,-0.15281093383545774,-0.16299832942448825,-0.17318572501351875,-0.18337312060254926,-0.19356051619157977,-0.20374791178061027,-0.21393530736964078,-0.2241227029586713,-0.2343100985477018,-0.2444974941367323,-0.2546848897257628]","[-0.3,-0.27599999999999997,-0.25199999999999995,-0.22799999999999995,-0.20399999999999996,-0.17999999999999997,-0.15599999999999997,-0.13199999999999998,-0.10799999999999998,-0.08399999999999999,-0.05999999999999999,-0.03599999999999999,-0.01199999999999999,0.01200000000000001,0.03600000000000001,0.06000000000000001,0.08400000000000002,0.10800000000000001,0.132,0.156,0.18,0.204,0.22799999999999998,0.252,0.276,0.30000000000000004,0.276,0.252,0.228,0.20400000000000001,0.18000000000000002,0.15600000000000003,0.13200000000000003,0.10800000000000004,0.08400000000000005,0.060000000000000046,0.036000000000000046,0.012000000000000045,-0.011999999999999955,-0.035999999999999956,-0.059999999999999956,-0.08399999999999996,-0.10799999999999996,-0.13199999999999995,-0.15599999999999994,-0.17999999999999994,-0.20399999999999993,-0.22799999999999992,-0.25199999999999995,-0.27599999999999997,-0.3]","[0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49583333333333335,0.4890625,0.4828125,0.4786458333333334,0.471875,0.46822916666666664,0.46770833333333334,0.46718750000000003,0.46718750000000003,0.46718750000000003,0.46718750000000003,0.46718750000000003,0.46718750000000003,0.46249999999999997,0.4552083333333333,0.44166666666666665,0.41875,0.3848958333333333,0.3421875,0.2911458333333333,0.23281249999999998,0.17135416666666667,0.10572916666666667,0.0390625,-0.025,-0.08802083333333333,-0.1296875,-0.15520833333333334,-0.18125000000000002,-0.2041666666666667,-0.22135416666666669,-0.234375,-0.2453125,-0.25625,-0.2640625,-0.26979166666666665,-0.2734375,-0.2760416666666667,-0.27708333333333335,-0.27708333333333335,-0.27760416666666665,-0.278125,-0.2786458333333333,-0.2786458333333333,-0.2786458333333333,-0.2755208333333333,-0.26979166666666665,-0.2640625]","[-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3]",-85,-9,2,hit,2,2,1,,0.04,-0.25468489,-0.269791667,0.015106777,6.07153E-18,0.3,tilt,,,7.7571,[],[],[],[],[],[],1,0,1,0,1
