Browser,participant,date,expName,psychopyVersion,OS,frameRate,hitPercent,pointsGiven,fixMouse.x,fixMouse.y,fixMouse.leftButton,fixMouse.midButton,fixMouse.rightButton,fixMouse.time,bounceDirArr,ballPosX,ballPosY,paddlePosX,paddlePosY,alphaChoice,pertChoice,horOrTilt,hitOrMiss,trialType,trialsNum,tasksNum,trialRepeat,ballSpeed,interceptBall,interceptPaddle,interceptDelta,wallBounceX,wallBounceY,wallOrient,connectTime,bounceTime,cumulativetime,trialMouse.x,trialMouse.y,trialMouse.leftButton,trialMouse.midButton,trialMouse.rightButton,trialMouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
Chrome,1,2022-10-27_16h03.50.295,bounceV3,2022.2.4,Win32,60.90875868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2022-10-27_16h03.50.295,bounceV3,2022.2.4,Win32,60.90875868,2,0,[],[],[],[],[],[],"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[0.1607695154586736,0.15433873484032665,0.1479079542219797,0.14147717360363274,0.13504639298528578,0.12861561236693883,0.12218483174859189,0.11575405113024495,0.10932327051189801,0.10289248989355107,0.09646170927520413,0.09003092865685719,0.08360014803851025,0.07716936742016331,0.07073858680181637,0.06430780618346943,0.05787702556512248,0.051446244946775535,0.04501546432842859,0.03858468371008164,0.032153903091734694,0.02572312247338775,0.019292341855040807,0.012861561236693863,0.0064307806183469185,-2.6020852139652106e-17,-0.015585782236740274,-0.031171564473480524,-0.046757346710220776,-0.06234312894696102,-0.07792891118370127,-0.09351469342044151,-0.10910047565718176,-0.124686257893922,-0.14027204013066225,-0.1558578223674025,-0.17144360460414276,-0.18702938684088302,-0.20261516907762328,-0.21820095131436354,-0.2337867335511038,-0.24937251578784406,-0.2649582980245843,-0.28054408026132455,-0.2961298624980648,-0.311715644734805,-0.32730142697154524,-0.34288720920828547,-0.3584729914450257,-0.37405877368176593,-0.38964455591850616]","[-0.3,-0.27599999999999997,-0.25199999999999995,-0.22799999999999995,-0.20399999999999996,-0.17999999999999997,-0.15599999999999997,-0.13199999999999998,-0.10799999999999998,-0.08399999999999999,-0.05999999999999999,-0.03599999999999999,-0.01199999999999999,0.01200000000000001,0.03600000000000001,0.06000000000000001,0.08400000000000002,0.10800000000000001,0.132,0.156,0.18,0.204,0.22799999999999998,0.252,0.276,0.30000000000000004,0.276,0.252,0.228,0.20400000000000001,0.18000000000000002,0.15600000000000003,0.13200000000000003,0.10800000000000004,0.08400000000000005,0.060000000000000046,0.036000000000000046,0.012000000000000045,-0.011999999999999955,-0.035999999999999956,-0.059999999999999956,-0.08399999999999996,-0.10799999999999996,-0.13199999999999995,-0.15599999999999994,-0.17999999999999994,-0.20399999999999993,-0.22799999999999992,-0.25199999999999995,-0.27599999999999997,-0.3]","[0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49895833333333334,0.49583333333333335,0.4901041666666667,0.48124999999999996,0.46822916666666664,0.44895833333333335,0.42552083333333335,0.40104166666666663,0.3671875,0.3322916666666667,0.3041666666666667,0.2796875,0.25625,0.23124999999999998,0.20364583333333333,0.1765625,0.15,0.11770833333333333,0.08229166666666667,0.04010416666666667,-0.013020833333333332,-0.07604166666666667,-0.1328125,-0.18489583333333334,-0.22708333333333336,-0.2682291666666667,-0.3140625,-0.35052083333333334]","[-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3]",-75,-9,2,hit,2,1,1,,0.04,-0.389644556,-0.3140625,-0.075582056,-2.60209E-17,0.3,tilt,,,4.77,[],[],[],[],[],[],0,0,0,0,1
,1,2022-10-27_16h03.50.295,bounceV3,2022.2.4,Win32,60.90875868,,5,[],[],[],[],[],[],"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[0.21838214055972147,0.2096468549373326,0.20091156931494375,0.1921762836925549,0.18344099807016606,0.17470571244777722,0.16597042682538837,0.15723514120299953,0.14849985558061068,0.13976456995822184,0.131029284335833,0.12229399871344414,0.11355871309105528,0.10482342746866642,0.09608814184627756,0.0873528562238887,0.07861757060149985,0.06988228497911099,0.06114699935672213,0.05241171373433327,0.043676428111944415,0.03494114248955556,0.0262058568671667,0.01747057124477784,0.008735285622388983,1.249000902703301e-16,-0.018750855036161092,-0.03750171007232231,-0.056252565108483525,-0.07500342014464474,-0.09375427518080595,-0.11250513021696718,-0.1312559852531284,-0.15000684028928962,-0.16875769532545085,-0.18750855036161207,-0.2062594053977733,-0.22501026043393452,-0.24376111547009574,-0.26251197050625696,-0.28126282554241816,-0.30001368057857936,-0.31876453561474055,-0.33751539065090175,-0.35626624568706294,-0.37501710072322414,-0.39376795575938534,-0.41251881079554653,-0.4312696658317077,-0.4500205208678689,-0.4687713759040301]","[-0.3,-0.27599999999999997,-0.25199999999999995,-0.22799999999999995,-0.20399999999999996,-0.17999999999999997,-0.15599999999999997,-0.13199999999999998,-0.10799999999999998,-0.08399999999999999,-0.05999999999999999,-0.03599999999999999,-0.01199999999999999,0.01200000000000001,0.03600000000000001,0.06000000000000001,0.08400000000000002,0.10800000000000001,0.132,0.156,0.18,0.204,0.22799999999999998,0.252,0.276,0.30000000000000004,0.276,0.252,0.228,0.20400000000000001,0.18000000000000002,0.15600000000000003,0.13200000000000003,0.10800000000000004,0.08400000000000005,0.060000000000000046,0.036000000000000046,0.012000000000000045,-0.011999999999999955,-0.035999999999999956,-0.059999999999999956,-0.08399999999999996,-0.10799999999999996,-0.13199999999999995,-0.15599999999999994,-0.17999999999999994,-0.20399999999999993,-0.22799999999999992,-0.25199999999999995,-0.27599999999999997,-0.3]","[0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49895833333333334,0.490625,0.4739583333333333,0.4447916666666667,0.40729166666666666,0.35885416666666664,0.3125,0.26614583333333336,0.2203125,0.17031249999999998,0.12083333333333333,0.06927083333333334,0.019270833333333334,-0.02291666666666667,-0.059895833333333336,-0.08802083333333333,-0.11354166666666668,-0.1421875,-0.16770833333333335,-0.1875,-0.20729166666666668,-0.22916666666666666,-0.24947916666666667,-0.2682291666666667,-0.28020833333333334,-0.2942708333333333,-0.3166666666666667,-0.34427083333333336,-0.3671875,-0.3828125,-0.3927083333333333,-0.4005208333333333,-0.403125,-0.403125,-0.403125,-0.40989583333333335,-0.4348958333333333]","[-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3]",-70,-9,2,hit,2,2,1,,0.04,-0.468771376,-0.409895833,-0.058875543,1.249E-16,0.3,tilt,,,8.0025,[],[],[],[],[],[],1,0,1,0,1
,1,2022-10-27_16h03.50.295,bounceV3,2022.2.4,Win32,60.90875868,,5,[],[],[],[],[],[],"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[-0.1607695154586736,-0.15433873484032665,-0.1479079542219797,-0.14147717360363274,-0.13504639298528578,-0.12861561236693883,-0.12218483174859189,-0.11575405113024495,-0.10932327051189801,-0.10289248989355107,-0.09646170927520413,-0.09003092865685719,-0.08360014803851025,-0.07716936742016331,-0.07073858680181637,-0.06430780618346943,-0.05787702556512248,-0.051446244946775535,-0.04501546432842859,-0.03858468371008164,-0.032153903091734694,-0.02572312247338775,-0.019292341855040807,-0.012861561236693863,-0.0064307806183469185,2.6020852139652106e-17,0.015585782236740274,0.031171564473480524,0.046757346710220776,0.06234312894696102,0.07792891118370127,0.09351469342044151,0.10910047565718176,0.124686257893922,0.14027204013066225,0.1558578223674025,0.17144360460414276,0.18702938684088302,0.20261516907762328,0.21820095131436354,0.2337867335511038,0.24937251578784406,0.2649582980245843,0.28054408026132455,0.2961298624980648,0.311715644734805,0.32730142697154524,0.34288720920828547,0.3584729914450257,0.37405877368176593,0.38964455591850616]","[-0.3,-0.27599999999999997,-0.25199999999999995,-0.22799999999999995,-0.20399999999999996,-0.17999999999999997,-0.15599999999999997,-0.13199999999999998,-0.10799999999999998,-0.08399999999999999,-0.05999999999999999,-0.03599999999999999,-0.01199999999999999,0.01200000000000001,0.03600000000000001,0.06000000000000001,0.08400000000000002,0.10800000000000001,0.132,0.156,0.18,0.204,0.22799999999999998,0.252,0.276,0.30000000000000004,0.276,0.252,0.228,0.20400000000000001,0.18000000000000002,0.15600000000000003,0.13200000000000003,0.10800000000000004,0.08400000000000005,0.060000000000000046,0.036000000000000046,0.012000000000000045,-0.011999999999999955,-0.035999999999999956,-0.059999999999999956,-0.08399999999999996,-0.10799999999999996,-0.13199999999999995,-0.15599999999999994,-0.17999999999999994,-0.20399999999999993,-0.22799999999999992,-0.25199999999999995,-0.27599999999999997,-0.3]","[-0.48802083333333335,-0.4953125,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.49635416666666665,-0.48541666666666666,-0.4604166666666667,-0.41770833333333335,-0.3677083333333333,-0.31093750000000003,-0.2375,-0.17604166666666665,-0.12135416666666667,-0.08385416666666667,-0.0625,-0.046875,-0.0265625,-0.003125,0.025,0.053125,0.08020833333333334,0.1125,0.14479166666666668,0.17343750000000002,0.2015625,0.22239583333333335,0.23072916666666668,0.23124999999999998,0.23802083333333335,0.259375,0.28229166666666666,0.3046875,0.32656250000000003,0.35052083333333334,0.36875,0.3807291666666667,0.3932291666666667]","[-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3]",75,9,2,hit,2,3,1,,0.04,0.389644556,0.380729167,0.008915389,2.60209E-17,0.3,tilt,,,11.9522,[],[],[],[],[],[],2,0,2,0,1
