Browser,participant,Group,Day,date,expName,psychopyVersion,OS,frameRate,hitPercent,pointsGiven,fixMouse.x,fixMouse.y,fixMouse.leftButton,fixMouse.midButton,fixMouse.rightButton,fixMouse.time,bounceDirArr,ballPosX,ballPosY,paddlePosX,paddlePosY,alphaChoice,pertChoice,horOrTilt,hitOrMiss,trialType,trialsNum,tasksNum,trialRepeat,ballSpeed,interceptBall,interceptPaddle,interceptDelta,wallBounceX,wallBounceY,wallOrient,connectTime,bounceTime,cumulativetime,trialMouse.x,trialMouse.y,trialMouse.leftButton,trialMouse.midButton,trialMouse.rightButton,trialMouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Sound,tasks.thisRepN,tasks.thisTrialN,tasks.thisN,tasks.thisIndex,tasks.ran
Chrome,1,2,1,2022-10-27_12h26.35.994,bounceV3,2022.2.4,Win32,60.10699044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,1,2022-10-27_12h26.35.994,bounceV3,2022.2.4,Win32,60.10699044,2,0,[],[],[],[],[],[],"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[-0.10579618842507904,-0.10156434088807588,-0.09733249335107272,-0.09310064581406956,-0.0888687982770664,-0.08463695074006324,-0.08040510320306007,-0.07617325566605691,-0.07194140812905375,-0.06770956059205059,-0.06347771305504743,-0.05924586551804427,-0.05501401798104111,-0.05078217044403795,-0.046550322907034786,-0.042318475370031625,-0.038086627833028464,-0.0338547802960253,-0.02962293275902214,-0.02539108522201898,-0.02115923768501582,-0.016927390148012658,-0.012695542611009497,-0.008463695074006336,-0.004231847537003174,-1.214306433183765e-17,0.004231847537003147,0.008463695074006307,0.012695542611009466,0.016927390148012623,0.021159237685015785,0.025391085222018946,0.029622932759022107,0.03385478029602527,0.03808662783302843,0.04231847537003159,0.04655032290703475,0.05078217044403791,0.05501401798104107,0.059245865518044234,0.06347771305504739,0.06770956059205055,0.07194140812905371,0.07617325566605687,0.08040510320306003,0.0846369507400632,0.08886879827706635,0.09310064581406952,0.09733249335107268,0.10156434088807584,0.105796188425079]","[-0.3,-0.27599999999999997,-0.25199999999999995,-0.22799999999999995,-0.20399999999999996,-0.17999999999999997,-0.15599999999999997,-0.13199999999999998,-0.10799999999999998,-0.08399999999999999,-0.05999999999999999,-0.03599999999999999,-0.01199999999999999,0.01200000000000001,0.03600000000000001,0.06000000000000001,0.08400000000000002,0.10800000000000001,0.132,0.156,0.18,0.204,0.22799999999999998,0.252,0.276,0.30000000000000004,0.276,0.252,0.228,0.20400000000000001,0.18000000000000002,0.15600000000000003,0.13200000000000003,0.10800000000000004,0.08400000000000005,0.060000000000000046,0.036000000000000046,0.012000000000000045,-0.011999999999999955,-0.035999999999999956,-0.059999999999999956,-0.08399999999999996,-0.10799999999999996,-0.13199999999999995,-0.15599999999999994,-0.17999999999999994,-0.20399999999999993,-0.22799999999999992,-0.25199999999999995,-0.27599999999999997,-0.3]","[-0.49947916666666664,-0.49947916666666664,-0.49947916666666664,-0.49947916666666664,-0.49947916666666664,-0.49947916666666664,-0.49947916666666664,-0.49947916666666664,-0.49947916666666664,-0.49947916666666664,-0.49947916666666664,-0.49947916666666664,-0.49947916666666664,-0.49947916666666664,-0.49947916666666664,-0.49947916666666664,-0.49947916666666664,-0.49947916666666664,-0.49947916666666664,-0.49947916666666664,-0.49947916666666664,-0.49895833333333334,-0.49687499999999996,-0.4895833333333333,-0.471875,-0.4453125,-0.40625,-0.35520833333333335,-0.30364583333333334,-0.25520833333333337,-0.21354166666666669,-0.17447916666666666,-0.14010416666666667,-0.1015625,-0.065625,-0.034374999999999996,-0.0109375,0.00625,0.021875,0.03645833333333333,0.04895833333333333,0.05677083333333334,0.057812499999999996,0.057812499999999996,0.059375,0.07135416666666666,0.08541666666666667,0.09895833333333334,0.1046875,0.1046875,0.1046875]","[-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3]",80,0,2,hit,1,1,1,,0.04,0.105796188,0.1046875,0.001108688,-1.21431E-17,0.3,hor,,,4.7848,[],[],[],[],[],[],0,0,0,1,1,5,,,,,
,1,2,1,2022-10-27_12h26.35.994,bounceV3,2022.2.4,Win32,60.10699044,,10,[],[],[],[],[],[],"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[0.10579618842507904,0.10156434088807588,0.09733249335107272,0.09310064581406956,0.0888687982770664,0.08463695074006324,0.08040510320306007,0.07617325566605691,0.07194140812905375,0.06770956059205059,0.06347771305504743,0.05924586551804427,0.05501401798104111,0.05078217044403795,0.046550322907034786,0.042318475370031625,0.038086627833028464,0.0338547802960253,0.02962293275902214,0.02539108522201898,0.02115923768501582,0.016927390148012658,0.012695542611009497,0.008463695074006336,0.004231847537003174,1.214306433183765e-17,-0.004231847537003147,-0.008463695074006307,-0.012695542611009466,-0.016927390148012623,-0.021159237685015785,-0.025391085222018946,-0.029622932759022107,-0.03385478029602527,-0.03808662783302843,-0.04231847537003159,-0.04655032290703475,-0.05078217044403791,-0.05501401798104107,-0.059245865518044234,-0.06347771305504739,-0.06770956059205055,-0.07194140812905371,-0.07617325566605687,-0.08040510320306003,-0.0846369507400632,-0.08886879827706635,-0.09310064581406952,-0.09733249335107268,-0.10156434088807584,-0.105796188425079]","[-0.3,-0.27599999999999997,-0.25199999999999995,-0.22799999999999995,-0.20399999999999996,-0.17999999999999997,-0.15599999999999997,-0.13199999999999998,-0.10799999999999998,-0.08399999999999999,-0.05999999999999999,-0.03599999999999999,-0.01199999999999999,0.01200000000000001,0.03600000000000001,0.06000000000000001,0.08400000000000002,0.10800000000000001,0.132,0.156,0.18,0.204,0.22799999999999998,0.252,0.276,0.30000000000000004,0.276,0.252,0.228,0.20400000000000001,0.18000000000000002,0.15600000000000003,0.13200000000000003,0.10800000000000004,0.08400000000000005,0.060000000000000046,0.036000000000000046,0.012000000000000045,-0.011999999999999955,-0.035999999999999956,-0.059999999999999956,-0.08399999999999996,-0.10799999999999996,-0.13199999999999995,-0.15599999999999994,-0.17999999999999994,-0.20399999999999993,-0.22799999999999992,-0.25199999999999995,-0.27599999999999997,-0.3]","[0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.4947916666666667,0.48385416666666664,0.46770833333333334,0.45260416666666664,0.4390625,0.4223958333333333,0.3932291666666667,0.3536458333333333,0.30208333333333337,0.2526041666666667,0.20572916666666669,0.16614583333333335,0.1390625,0.11197916666666666,0.08802083333333333,0.0703125,0.05572916666666667,0.04375,0.0359375,0.029166666666666667,0.01979166666666667,0.0067708333333333336,-0.009375,-0.021875,-0.03229166666666666,-0.041666666666666664,-0.05104166666666667,-0.058854166666666666,-0.06822916666666666,-0.07760416666666667,-0.08802083333333333,-0.09531250000000001,-0.09739583333333332,-0.09739583333333332,-0.09739583333333332,-0.09791666666666667]","[-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3]",-80,0,2,hit,1,2,1,,0.04,-0.105796188,-0.097395833,-0.008400355,1.21431E-17,0.3,hor,,,8.8127,[],[],[],[],[],[],0,1,1,0,1,0.4,,,,,
,1,2,1,2022-10-27_12h26.35.994,bounceV3,2022.2.4,Win32,60.10699044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
,1,2,1,2022-10-27_12h26.35.994,bounceV3,2022.2.4,Win32,60.10699044,0.04,0,[],[],[],[],[],[],"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[-0.1607695154586736,-0.15433873484032665,-0.1479079542219797,-0.14147717360363274,-0.13504639298528578,-0.12861561236693883,-0.12218483174859189,-0.11575405113024495,-0.10932327051189801,-0.10289248989355107,-0.09646170927520413,-0.09003092865685719,-0.08360014803851025,-0.07716936742016331,-0.07073858680181637,-0.06430780618346943,-0.05787702556512248,-0.051446244946775535,-0.04501546432842859,-0.03858468371008164,-0.032153903091734694,-0.02572312247338775,-0.019292341855040807,-0.012861561236693863,-0.0064307806183469185,2.6020852139652106e-17,0.0064307806183469705,0.012861561236693915,0.01929234185504086,0.025723122473387802,0.03215390309173475,0.038584683710081696,0.045015464328428643,0.05144624494677559,0.05787702556512254,0.06430780618346948,0.07073858680181642,0.07716936742016337,0.0836001480385103,0.09003092865685725,0.09646170927520419,0.10289248989355113,0.10932327051189807,0.115754051130245,0.12218483174859195,0.1286156123669389,0.13504639298528584,0.1414771736036328,0.14790795422197975,0.1543387348403267,0.16076951545867366]","[-0.3,-0.27599999999999997,-0.25199999999999995,-0.22799999999999995,-0.20399999999999996,-0.17999999999999997,-0.15599999999999997,-0.13199999999999998,-0.10799999999999998,-0.08399999999999999,-0.05999999999999999,-0.03599999999999999,-0.01199999999999999,0.01200000000000001,0.03600000000000001,0.06000000000000001,0.08400000000000002,0.10800000000000001,0.132,0.156,0.18,0.204,0.22799999999999998,0.252,0.276,0.30000000000000004,0.276,0.252,0.228,0.20400000000000001,0.18000000000000002,0.15600000000000003,0.13200000000000003,0.10800000000000004,0.08400000000000005,0.060000000000000046,0.036000000000000046,0.012000000000000045,-0.011999999999999955,-0.035999999999999956,-0.059999999999999956,-0.08399999999999996,-0.10799999999999996,-0.13199999999999995,-0.15599999999999994,-0.17999999999999994,-0.20399999999999993,-0.22799999999999992,-0.25199999999999995,-0.27599999999999997,-0.3]","[-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.49947916666666664,-0.4864583333333333,-0.46562499999999996,-0.43333333333333335,-0.39166666666666666,-0.3453125,-0.28802083333333334,-0.22239583333333335,-0.1578125,-0.10208333333333335,-0.058854166666666666,-0.030208333333333334,-0.005729166666666667,0.015625,0.0328125,0.04375,0.053125,0.06458333333333333,0.078125,0.09583333333333333,0.11927083333333333,0.14375,0.16302083333333334,0.17812499999999998,0.18125000000000002,0.18125000000000002,0.18072916666666666,0.18125000000000002,0.184375,0.18697916666666667,0.1875,0.18802083333333333,0.18854166666666666]","[-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3]",75,0,2,hit,1,1,2,,0.04,0.160769515,0.188020833,-0.027251318,2.60209E-17,0.3,hor,,,14.9628,[],[],[],[],[],[],0,0,0,0,1,0.4,,,,,
,1,2,1,2022-10-27_12h26.35.994,bounceV3,2022.2.4,Win32,60.10699044,,5,[],[],[],[],[],[],"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[-0.21838214055972147,-0.2096468549373326,-0.20091156931494375,-0.1921762836925549,-0.18344099807016606,-0.17470571244777722,-0.16597042682538837,-0.15723514120299953,-0.14849985558061068,-0.13976456995822184,-0.131029284335833,-0.12229399871344414,-0.11355871309105528,-0.10482342746866642,-0.09608814184627756,-0.0873528562238887,-0.07861757060149985,-0.06988228497911099,-0.06114699935672213,-0.05241171373433327,-0.043676428111944415,-0.03494114248955556,-0.0262058568671667,-0.01747057124477784,-0.008735285622388983,-1.249000902703301e-16,0.008735285622388731,0.017470571244777588,0.026205856867166442,0.0349411424895553,0.04367642811194416,0.05241171373433302,0.061146999356721875,0.06988228497911073,0.07861757060149958,0.08735285622388844,0.0960881418462773,0.10482342746866616,0.11355871309105502,0.12229399871344387,0.13102928433583272,0.13976456995822156,0.1484998555806104,0.15723514120299925,0.1659704268253881,0.17470571244777694,0.18344099807016578,0.19217628369255463,0.20091156931494347,0.20964685493733232,0.21838214055972116,0.22711742618211,0.23585271180449885,0.2445879974268877,0.25332328304927654,0.2620585686716654,0.2707938542940542,0.27952913991644307,0.2882644255388319,0.29699971116122076,0.3057349967836096,0.31447028240599845,0.3232055680283873,0.33194085365077614,0.340676139273165,0.3494114248955538,0.35814671051794267,0.3668819961403315,0.37561728176272036,0.3843525673851092,0.39308785300749804,0.4018231386298869,0.41055842425227573,0.4192937098746646,0.4280289954970534,0.43676428111944227,0.4454995667418311,0.45423485236421995,0.4629701379866088,0.47170542360899764,0.4804407092313865]","[-0.3,-0.27599999999999997,-0.25199999999999995,-0.22799999999999995,-0.20399999999999996,-0.17999999999999997,-0.15599999999999997,-0.13199999999999998,-0.10799999999999998,-0.08399999999999999,-0.05999999999999999,-0.03599999999999999,-0.01199999999999999,0.01200000000000001,0.03600000000000001,0.06000000000000001,0.08400000000000002,0.10800000000000001,0.132,0.156,0.18,0.204,0.22799999999999998,0.252,0.276,0.30000000000000004,0.276,0.252,0.228,0.20400000000000001,0.18000000000000002,0.15600000000000003,0.13200000000000003,0.10800000000000004,0.08400000000000005,0.060000000000000046,0.036000000000000046,0.012000000000000045,-0.011999999999999955,-0.035999999999999956,-0.059999999999999956,-0.08399999999999996,-0.10799999999999996,-0.13199999999999995,-0.15599999999999994,-0.17999999999999994,-0.20399999999999993,-0.22799999999999992,-0.25199999999999995,-0.27599999999999997,-0.3,-0.324,-0.34800000000000003,-0.37200000000000005,-0.3960000000000001,-0.4200000000000001,-0.4440000000000001,-0.46800000000000014,-0.49200000000000016,-0.5160000000000001,-0.5400000000000001,-0.5640000000000002,-0.5880000000000002,-0.6120000000000002,-0.6360000000000002,-0.6600000000000003,-0.6840000000000003,-0.7080000000000003,-0.7320000000000003,-0.7560000000000003,-0.7800000000000004,-0.8040000000000004,-0.8280000000000004,-0.8520000000000004,-0.8760000000000004,-0.9000000000000005,-0.9240000000000005,-0.9480000000000005,-0.9720000000000005,-0.9960000000000006,-1.0200000000000005]","[-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.4979166666666667,-0.48750000000000004,-0.4765625,-0.47135416666666663,-0.46614583333333337,-0.45208333333333334,-0.42916666666666664,-0.39427083333333335,-0.34635416666666663,-0.2911458333333333,-0.23072916666666668,-0.17291666666666666,-0.12083333333333333,-0.071875,-0.033854166666666664,-0.004166666666666667,0.018229166666666664,0.03958333333333334,0.057812499999999996,0.07708333333333334,0.096875,0.11302083333333333,0.12864583333333335,0.146875,0.171875,0.19947916666666665,0.22135416666666669,0.23802083333333335,0.24583333333333335,0.24947916666666667,0.2526041666666667,0.2578125,0.265625,0.27395833333333336,0.2786458333333333,0.2791666666666667,0.2796875,0.2796875,0.28020833333333334,0.28072916666666664,0.28072916666666664,0.28125,0.28125,0.2817708333333333,0.28229166666666666,0.28229166666666666,0.28229166666666666,0.2817708333333333,0.28020833333333334,0.2786458333333333,0.27760416666666665,0.2760416666666667,0.27447916666666666,0.27291666666666664,0.271875,0.2713541666666667,0.2703125,0.2703125,0.26979166666666665,0.26979166666666665,0.26927083333333335,0.2682291666666667,0.26510416666666664,0.25520833333333337,0.23333333333333334,0.20208333333333334,0.165625,0.12135416666666667]","[-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3]",70,0,2,miss,1,2,2,,0.04,0.218382141,0.2796875,-0.061305359,-1.249E-16,0.3,hor,,,21.2272,[],[],[],[],[],[],0,1,1,1,1,5,,,,,
,1,2,1,2022-10-27_12h26.35.994,bounceV3,2022.2.4,Win32,60.10699044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1
,1,2,1,2022-10-27_12h26.35.994,bounceV3,2022.2.4,Win32,60.10699044,0.02,0,[],[],[],[],[],[],"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[-0.10579618842507904,-0.10156434088807588,-0.09733249335107272,-0.09310064581406956,-0.0888687982770664,-0.08463695074006324,-0.08040510320306007,-0.07617325566605691,-0.07194140812905375,-0.06770956059205059,-0.06347771305504743,-0.05924586551804427,-0.05501401798104111,-0.05078217044403795,-0.046550322907034786,-0.042318475370031625,-0.038086627833028464,-0.0338547802960253,-0.02962293275902214,-0.02539108522201898,-0.02115923768501582,-0.016927390148012658,-0.012695542611009497,-0.008463695074006336,-0.004231847537003174,-1.214306433183765e-17,0.004231847537003147,0.008463695074006307,0.012695542611009466,0.016927390148012623,0.021159237685015785,0.025391085222018946,0.029622932759022107,0.03385478029602527,0.03808662783302843,0.04231847537003159,0.04655032290703475,0.05078217044403791,0.05501401798104107,0.059245865518044234,0.06347771305504739,0.06770956059205055,0.07194140812905371,0.07617325566605687,0.08040510320306003,0.0846369507400632,0.08886879827706635,0.09310064581406952,0.09733249335107268,0.10156434088807584,0.105796188425079]","[-0.3,-0.27599999999999997,-0.25199999999999995,-0.22799999999999995,-0.20399999999999996,-0.17999999999999997,-0.15599999999999997,-0.13199999999999998,-0.10799999999999998,-0.08399999999999999,-0.05999999999999999,-0.03599999999999999,-0.01199999999999999,0.01200000000000001,0.03600000000000001,0.06000000000000001,0.08400000000000002,0.10800000000000001,0.132,0.156,0.18,0.204,0.22799999999999998,0.252,0.276,0.30000000000000004,0.276,0.252,0.228,0.20400000000000001,0.18000000000000002,0.15600000000000003,0.13200000000000003,0.10800000000000004,0.08400000000000005,0.060000000000000046,0.036000000000000046,0.012000000000000045,-0.011999999999999955,-0.035999999999999956,-0.059999999999999956,-0.08399999999999996,-0.10799999999999996,-0.13199999999999995,-0.15599999999999994,-0.17999999999999994,-0.20399999999999993,-0.22799999999999992,-0.25199999999999995,-0.27599999999999997,-0.3]","[-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.4979166666666667,-0.49322916666666666,-0.4765625,-0.44791666666666663,-0.41093749999999996,-0.36614583333333334,-0.31875,-0.2760416666666667,-0.23645833333333335,-0.19270833333333334,-0.15208333333333335,-0.11302083333333333,-0.07864583333333333,-0.05364583333333333,-0.034374999999999996,-0.0125,0.0109375,0.034374999999999996,0.05520833333333333,0.0703125,0.0796875,0.08854166666666667,0.09791666666666667,0.10833333333333334,0.11510416666666667,0.1171875,0.11927083333333333,0.12083333333333333,0.12239583333333333,0.12291666666666667,0.12447916666666667]","[-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3]",80,0,2,hit,1,1,3,,0.04,0.105796188,0.122916667,-0.017120478,-1.21431E-17,0.3,hor,,,26.4108,[],[],[],[],[],[],0,0,0,0,1,0.4,,,,,
,1,2,1,2022-10-27_12h26.35.994,bounceV3,2022.2.4,Win32,60.10699044,,10,[],[],[],[],[],[],"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[0.1607695154586736,0.15433873484032665,0.1479079542219797,0.14147717360363274,0.13504639298528578,0.12861561236693883,0.12218483174859189,0.11575405113024495,0.10932327051189801,0.10289248989355107,0.09646170927520413,0.09003092865685719,0.08360014803851025,0.07716936742016331,0.07073858680181637,0.06430780618346943,0.05787702556512248,0.051446244946775535,0.04501546432842859,0.03858468371008164,0.032153903091734694,0.02572312247338775,0.019292341855040807,0.012861561236693863,0.0064307806183469185,-2.6020852139652106e-17,-0.0064307806183469705,-0.012861561236693915,-0.01929234185504086,-0.025723122473387802,-0.03215390309173475,-0.038584683710081696,-0.045015464328428643,-0.05144624494677559,-0.05787702556512254,-0.06430780618346948,-0.07073858680181642,-0.07716936742016337,-0.0836001480385103,-0.09003092865685725,-0.09646170927520419,-0.10289248989355113,-0.10932327051189807,-0.115754051130245,-0.12218483174859195,-0.1286156123669389,-0.13504639298528584,-0.1414771736036328,-0.14790795422197975,-0.1543387348403267,-0.16076951545867366,-0.1672002960770206,-0.17363107669536756,-0.18006185731371452,-0.18649263793206147,-0.19292341855040843,-0.19935419916875538,-0.20578497978710233,-0.2122157604054493,-0.21864654102379624,-0.2250773216421432,-0.23150810226049015,-0.2379388828788371,-0.24436966349718406,-0.250800444115531,-0.25723122473387794,-0.2636620053522249,-0.27009278597057185,-0.2765235665889188,-0.28295434720726576,-0.2893851278256127,-0.29581590844395966,-0.3022466890623066,-0.30867746968065357,-0.3151082502990005,-0.3215390309173475,-0.32796981153569443,-0.3344005921540414,-0.34083137277238834,-0.3472621533907353,-0.35369293400908225]","[-0.3,-0.27599999999999997,-0.25199999999999995,-0.22799999999999995,-0.20399999999999996,-0.17999999999999997,-0.15599999999999997,-0.13199999999999998,-0.10799999999999998,-0.08399999999999999,-0.05999999999999999,-0.03599999999999999,-0.01199999999999999,0.01200000000000001,0.03600000000000001,0.06000000000000001,0.08400000000000002,0.10800000000000001,0.132,0.156,0.18,0.204,0.22799999999999998,0.252,0.276,0.30000000000000004,0.276,0.252,0.228,0.20400000000000001,0.18000000000000002,0.15600000000000003,0.13200000000000003,0.10800000000000004,0.08400000000000005,0.060000000000000046,0.036000000000000046,0.012000000000000045,-0.011999999999999955,-0.035999999999999956,-0.059999999999999956,-0.08399999999999996,-0.10799999999999996,-0.13199999999999995,-0.15599999999999994,-0.17999999999999994,-0.20399999999999993,-0.22799999999999992,-0.25199999999999995,-0.27599999999999997,-0.3,-0.324,-0.34800000000000003,-0.37200000000000005,-0.3960000000000001,-0.4200000000000001,-0.4440000000000001,-0.46800000000000014,-0.49200000000000016,-0.5160000000000001,-0.5400000000000001,-0.5640000000000002,-0.5880000000000002,-0.6120000000000002,-0.6360000000000002,-0.6600000000000003,-0.6840000000000003,-0.7080000000000003,-0.7320000000000003,-0.7560000000000003,-0.7800000000000004,-0.8040000000000004,-0.8280000000000004,-0.8520000000000004,-0.8760000000000004,-0.9000000000000005,-0.9240000000000005,-0.9480000000000005,-0.9720000000000005,-0.9960000000000006,-1.0200000000000005]","[0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49895833333333334,0.490625,0.4708333333333333,0.440625,0.40208333333333335,0.3536458333333333,0.3015625,0.24895833333333334,0.20208333333333334,0.15520833333333334,0.11875,0.08385416666666667,0.05520833333333333,0.027083333333333334,-0.0015625,-0.0265625,-0.0484375,-0.07395833333333333,-0.10104166666666667,-0.11822916666666668,-0.1265625,-0.134375,-0.14895833333333336,-0.16822916666666665,-0.1875,-0.203125,-0.21666666666666667,-0.22083333333333333,-0.22083333333333333,-0.22083333333333333,-0.22135416666666669,-0.22291666666666668,-0.22343749999999998,-0.22343749999999998,-0.22343749999999998,-0.2203125,-0.2171875,-0.21354166666666669,-0.20833333333333331,-0.2015625,-0.1921875,-0.1859375,-0.18333333333333335,-0.18281250000000002,-0.18072916666666666,-0.17812499999999998,-0.17447916666666666,-0.17083333333333334,-0.165625,-0.16510416666666666,-0.16510416666666666,-0.16510416666666666,-0.16510416666666666,-0.16302083333333334,-0.15989583333333335,-0.15572916666666667,-0.15416666666666667,-0.15416666666666667,-0.15364583333333331,-0.15260416666666668,-0.1473958333333333,-0.14166666666666666,-0.140625]","[-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3]",-75,0,2,miss,1,2,3,,0.04,-0.160769515,-0.222916667,0.062147151,-2.60209E-17,0.3,hor,,,31.7963,[],[],[],[],[],[],0,1,1,1,1,5,,,,,
,1,2,1,2022-10-27_12h26.35.994,bounceV3,2022.2.4,Win32,60.10699044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,1
