Browser,participant,date,expName,psychopyVersion,OS,frameRate,hitPercent,pointsGiven,fixMouse.x,fixMouse.y,fixMouse.leftButton,fixMouse.midButton,fixMouse.rightButton,fixMouse.time,bounceDirArr,ballPosX,ballPosY,paddlePosX,paddlePosY,alphaChoice,pertChoice,horOrTilt,hitOrMiss,trialType,trialsNum,tasksNum,trialRepeat,ballSpeed,interceptBall,interceptPaddle,interceptDelta,wallBounceX,wallBounceY,wallOrient,connectTime,bounceTime,cumulativetime,trialMouse.x,trialMouse.y,trialMouse.leftButton,trialMouse.midButton,trialMouse.rightButton,trialMouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
Chrome,asdada,2022-11-08_03h13.46.846,bounceV3,2022.2.4,Win32,59.95922773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,asdada,2022-11-08_03h13.46.846,bounceV3,2022.2.4,Win32,59.95922773,2,0,[0.03981481481481482],[0.287962962962963],[1],[0],[0],[13.70350000000002],"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[0.1607695154586736,0.15433873484032665,0.1479079542219797,0.14147717360363274,0.13504639298528578,0.12861561236693883,0.12218483174859189,0.11575405113024495,0.10932327051189801,0.10289248989355107,0.09646170927520413,0.09003092865685719,0.08360014803851025,0.07716936742016331,0.07073858680181637,0.06430780618346943,0.05787702556512248,0.051446244946775535,0.04501546432842859,0.03858468371008164,0.032153903091734694,0.02572312247338775,0.019292341855040807,0.012861561236693863,0.0064307806183469185,-2.6020852139652106e-17,-0.015585782236740274,-0.031171564473480524,-0.046757346710220776,-0.06234312894696102,-0.07792891118370127,-0.09351469342044151,-0.10910047565718176,-0.124686257893922,-0.14027204013066225,-0.1558578223674025,-0.17144360460414276,-0.18702938684088302,-0.20261516907762328,-0.21820095131436354,-0.2337867335511038,-0.24937251578784406,-0.2649582980245843,-0.28054408026132455,-0.2961298624980648,-0.311715644734805,-0.32730142697154524,-0.34288720920828547,-0.3584729914450257,-0.37405877368176593,-0.38964455591850616]","[-0.3,-0.27599999999999997,-0.25199999999999995,-0.22799999999999995,-0.20399999999999996,-0.17999999999999997,-0.15599999999999997,-0.13199999999999998,-0.10799999999999998,-0.08399999999999999,-0.05999999999999999,-0.03599999999999999,-0.01199999999999999,0.01200000000000001,0.03600000000000001,0.06000000000000001,0.08400000000000002,0.10800000000000001,0.132,0.156,0.18,0.204,0.22799999999999998,0.252,0.276,0.30000000000000004,0.276,0.252,0.228,0.20400000000000001,0.18000000000000002,0.15600000000000003,0.13200000000000003,0.10800000000000004,0.08400000000000005,0.060000000000000046,0.036000000000000046,0.012000000000000045,-0.011999999999999955,-0.035999999999999956,-0.059999999999999956,-0.08399999999999996,-0.10799999999999996,-0.13199999999999995,-0.15599999999999994,-0.17999999999999994,-0.20399999999999993,-0.22799999999999992,-0.25199999999999995,-0.27599999999999997,-0.3]","[0.022395833333333334,0.0234375,0.025,0.0265625,0.0296875,0.033854166666666664,0.04114583333333333,0.05364583333333333,0.071875,0.09531250000000001,0.12135416666666667,0.14583333333333331,0.16614583333333335,0.18125000000000002,0.18541666666666665,0.18541666666666665,0.18541666666666665,0.18541666666666665,0.18541666666666665,0.18541666666666665,0.18541666666666665,0.18541666666666665,0.18541666666666665,0.18541666666666665,0.18541666666666665,0.18541666666666665,0.18541666666666665,0.18541666666666665,0.18541666666666665,0.18541666666666665,0.1859375,0.1859375,0.1859375,0.1859375,0.184375,0.17812499999999998,0.16614583333333335,0.1421875,0.09895833333333334,0.040624999999999994,-0.020312499999999997,-0.07447916666666668,-0.13489583333333333,-0.19479166666666664,-0.24166666666666667,-0.27447916666666666,-0.2979166666666667,-0.32083333333333336,-0.3385416666666667,-0.3515625,-0.36250000000000004]","[-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3]",-75,-9,2,hit,2,1,1,,0.04,-0.389644556,-0.3515625,-0.038082056,-2.60209E-17,0.3,tilt,,,15.798,[],[],[],[],[],[],0,0,0,0,1
