Browser,participant,Group,Day,date,expName,psychopyVersion,OS,frameRate,hitPercent,pointsGiven,fixMouse.x,fixMouse.y,fixMouse.leftButton,fixMouse.midButton,fixMouse.rightButton,fixMouse.time,bounceDirArr,ballPosX,ballPosY,paddlePosX,paddlePosY,alphaChoice,pertChoice,horOrTilt,hitOrMiss,trialType,trialsNum,tasksNum,trialRepeat,ballSpeed,interceptBall,interceptPaddle,interceptDelta,wallBounceX,wallBounceY,wallOrient,connectTime,bounceTime,cumulativetime,trialMouse.x,trialMouse.y,trialMouse.leftButton,trialMouse.midButton,trialMouse.rightButton,trialMouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Sound,tasks.thisRepN,tasks.thisTrialN,tasks.thisN,tasks.thisIndex,tasks.ran
Chrome,1,1,1,2022-10-27_12h17.24.131,bounceV3,2022.2.4,Win32,61.05378839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,2022-10-27_12h17.24.131,bounceV3,2022.2.4,Win32,61.05378839,2,0,[],[],[],[],[],[],"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[-0.1607695154586736,-0.15433873484032665,-0.1479079542219797,-0.14147717360363274,-0.13504639298528578,-0.12861561236693883,-0.12218483174859189,-0.11575405113024495,-0.10932327051189801,-0.10289248989355107,-0.09646170927520413,-0.09003092865685719,-0.08360014803851025,-0.07716936742016331,-0.07073858680181637,-0.06430780618346943,-0.05787702556512248,-0.051446244946775535,-0.04501546432842859,-0.03858468371008164,-0.032153903091734694,-0.02572312247338775,-0.019292341855040807,-0.012861561236693863,-0.0064307806183469185,2.6020852139652106e-17,0.0064307806183469705,0.012861561236693915,0.01929234185504086,0.025723122473387802,0.03215390309173475,0.038584683710081696,0.045015464328428643,0.05144624494677559,0.05787702556512254,0.06430780618346948,0.07073858680181642,0.07716936742016337,0.0836001480385103,0.09003092865685725,0.09646170927520419,0.10289248989355113,0.10932327051189807,0.115754051130245,0.12218483174859195,0.1286156123669389,0.13504639298528584,0.1414771736036328,0.14790795422197975,0.1543387348403267,0.16076951545867366]","[-0.3,-0.27599999999999997,-0.25199999999999995,-0.22799999999999995,-0.20399999999999996,-0.17999999999999997,-0.15599999999999997,-0.13199999999999998,-0.10799999999999998,-0.08399999999999999,-0.05999999999999999,-0.03599999999999999,-0.01199999999999999,0.01200000000000001,0.03600000000000001,0.06000000000000001,0.08400000000000002,0.10800000000000001,0.132,0.156,0.18,0.204,0.22799999999999998,0.252,0.276,0.30000000000000004,0.276,0.252,0.228,0.20400000000000001,0.18000000000000002,0.15600000000000003,0.13200000000000003,0.10800000000000004,0.08400000000000005,0.060000000000000046,0.036000000000000046,0.012000000000000045,-0.011999999999999955,-0.035999999999999956,-0.059999999999999956,-0.08399999999999996,-0.10799999999999996,-0.13199999999999995,-0.15599999999999994,-0.17999999999999994,-0.20399999999999993,-0.22799999999999992,-0.25199999999999995,-0.27599999999999997,-0.3]","[-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.49947916666666664,-0.49687499999999996,-0.4901041666666667,-0.48177083333333337,-0.4739583333333333,-0.46458333333333335,-0.453125,-0.4385416666666667,-0.4203125,-0.39687500000000003,-0.36562500000000003,-0.33177083333333335,-0.296875,-0.2635416666666667,-0.2265625,-0.19010416666666666,-0.14322916666666669,-0.09947916666666666,-0.0625,-0.025520833333333336,0.008854166666666666,0.03854166666666667,0.0671875,0.09375,0.1234375,0.15729166666666666,0.17864583333333334,0.18281250000000002,0.18281250000000002,0.18281250000000002,0.18281250000000002]","[-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3]",75,0,1,hit,1,1,1,,0.04,0.160769515,0.1828125,-0.022042985,2.60209E-17,0.3,hor,,,4.2233,[],[],[],[],[],[],0,0,0,0,1,0.4,,,,,
,1,1,1,2022-10-27_12h17.24.131,bounceV3,2022.2.4,Win32,61.05378839,,10,[],[],[],[],[],[],"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[0.05249319811555451,0.05039347019093233,0.04829374226631015,0.04619401434168797,0.04409428641706579,0.04199455849244361,0.03989483056782143,0.03779510264319925,0.03569537471857707,0.03359564679395489,0.03149591886933271,0.029396190944710528,0.027296463020088348,0.025196735095466168,0.023097007170843988,0.020997279246221807,0.018897551321599627,0.016797823396977447,0.014698095472355267,0.012598367547733087,0.010498639623110907,0.008398911698488727,0.006299183773866547,0.004199455849244367,0.0020997279246221866,6.071532165918825e-18,-0.00209972792462217,-0.004199455849244346,-0.006299183773866523,-0.0083989116984887,-0.010498639623110876,-0.012598367547733053,-0.01469809547235523,-0.016797823396977406,-0.018897551321599582,-0.02099727924622176,-0.023097007170843935,-0.025196735095466112,-0.02729646302008829,-0.029396190944710465,-0.03149591886933264,-0.03359564679395481,-0.035695374718576985,-0.03779510264319916,-0.03989483056782133,-0.041994558492443504,-0.04409428641706568,-0.04619401434168785,-0.04829374226631002,-0.050393470190932196,-0.05249319811555437]","[-0.3,-0.27599999999999997,-0.25199999999999995,-0.22799999999999995,-0.20399999999999996,-0.17999999999999997,-0.15599999999999997,-0.13199999999999998,-0.10799999999999998,-0.08399999999999999,-0.05999999999999999,-0.03599999999999999,-0.01199999999999999,0.01200000000000001,0.03600000000000001,0.06000000000000001,0.08400000000000002,0.10800000000000001,0.132,0.156,0.18,0.204,0.22799999999999998,0.252,0.276,0.30000000000000004,0.276,0.252,0.228,0.20400000000000001,0.18000000000000002,0.15600000000000003,0.13200000000000003,0.10800000000000004,0.08400000000000005,0.060000000000000046,0.036000000000000046,0.012000000000000045,-0.011999999999999955,-0.035999999999999956,-0.059999999999999956,-0.08399999999999996,-0.10799999999999996,-0.13199999999999995,-0.15599999999999994,-0.17999999999999994,-0.20399999999999993,-0.22799999999999992,-0.25199999999999995,-0.27599999999999997,-0.3]","[0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49895833333333334,0.49739583333333337,0.49635416666666665,0.4953125,0.4890625,0.4755208333333333,0.4510416666666667,0.41093749999999996,0.36302083333333335,0.3046875,0.2557291666666667,0.21614583333333331,0.1859375,0.16302083333333334,0.15104166666666669,0.14635416666666667,0.13958333333333334,0.12916666666666665,0.11770833333333333,0.10677083333333334,0.09895833333333334,0.09635416666666667,0.09583333333333333,0.09427083333333333,0.08854166666666667,0.0796875,0.0703125,0.059895833333333336,0.04375,0.02291666666666667,0.0036458333333333334,-0.010416666666666666,-0.014583333333333334,-0.015625,-0.016666666666666666,-0.01875,-0.01979166666666667]","[-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3]",-85,0,1,hit,1,2,1,,0.04,-0.052493198,-0.01875,-0.033743198,6.07153E-18,0.3,hor,,,8.8549,[],[],[],[],[],[],0,1,1,1,1,5,,,,,
,1,1,1,2022-10-27_12h17.24.131,bounceV3,2022.2.4,Win32,61.05378839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
,1,1,1,2022-10-27_12h17.24.131,bounceV3,2022.2.4,Win32,61.05378839,0.04,0,[0.044444444444444446],[0.014814814814814815],[1],[0],[0],[2.2046000000238415],"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[0.05249319811555451,0.05039347019093233,0.04829374226631015,0.04619401434168797,0.04409428641706579,0.04199455849244361,0.03989483056782143,0.03779510264319925,0.03569537471857707,0.03359564679395489,0.03149591886933271,0.029396190944710528,0.027296463020088348,0.025196735095466168,0.023097007170843988,0.020997279246221807,0.018897551321599627,0.016797823396977447,0.014698095472355267,0.012598367547733087,0.010498639623110907,0.008398911698488727,0.006299183773866547,0.004199455849244367,0.0020997279246221866,6.071532165918825e-18,-0.00209972792462217,-0.004199455849244346,-0.006299183773866523,-0.0083989116984887,-0.010498639623110876,-0.012598367547733053,-0.01469809547235523,-0.016797823396977406,-0.018897551321599582,-0.02099727924622176,-0.023097007170843935,-0.025196735095466112,-0.02729646302008829,-0.029396190944710465,-0.03149591886933264,-0.03359564679395481,-0.035695374718576985,-0.03779510264319916,-0.03989483056782133,-0.041994558492443504,-0.04409428641706568,-0.04619401434168785,-0.04829374226631002,-0.050393470190932196,-0.05249319811555437]","[-0.3,-0.27599999999999997,-0.25199999999999995,-0.22799999999999995,-0.20399999999999996,-0.17999999999999997,-0.15599999999999997,-0.13199999999999998,-0.10799999999999998,-0.08399999999999999,-0.05999999999999999,-0.03599999999999999,-0.01199999999999999,0.01200000000000001,0.03600000000000001,0.06000000000000001,0.08400000000000002,0.10800000000000001,0.132,0.156,0.18,0.204,0.22799999999999998,0.252,0.276,0.30000000000000004,0.276,0.252,0.228,0.20400000000000001,0.18000000000000002,0.15600000000000003,0.13200000000000003,0.10800000000000004,0.08400000000000005,0.060000000000000046,0.036000000000000046,0.012000000000000045,-0.011999999999999955,-0.035999999999999956,-0.059999999999999956,-0.08399999999999996,-0.10799999999999996,-0.13199999999999995,-0.15599999999999994,-0.17999999999999994,-0.20399999999999993,-0.22799999999999992,-0.25199999999999995,-0.27599999999999997,-0.3]","[0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.024479166666666666,0.024479166666666666,0.024479166666666666,0.024479166666666666,0.024479166666666666,0.024479166666666666,0.024479166666666666,0.024479166666666666,0.024479166666666666,0.024479166666666666,0.024479166666666666,0.024479166666666666,0.024479166666666666,0.024479166666666666,0.024479166666666666,0.024479166666666666,0.024479166666666666,0.024479166666666666,0.024479166666666666,0.024479166666666666,0.024479166666666666,0.0234375,0.01979166666666667,0.0125,0.005729166666666667,-0.0005208333333333333,-0.005208333333333333,-0.0109375,-0.017187499999999998,-0.024479166666666666,-0.03125,-0.034895833333333334,-0.03697916666666667,-0.040624999999999994,-0.04635416666666666,-0.05364583333333333,-0.057812499999999996,-0.058333333333333334,-0.058333333333333334,-0.058854166666666666,-0.059375,-0.059375,-0.059375]","[-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3]",-85,0,1,hit,1,1,2,,0.04,-0.052493198,-0.059375,0.006881802,6.07153E-18,0.3,hor,,,16.9042,[],[],[],[],[],[],0,0,0,1,1,5,,,,,
,1,1,1,2022-10-27_12h17.24.131,bounceV3,2022.2.4,Win32,61.05378839,,10,[0.09259259259259259],[0.03611111111111111],[1],[0],[0],[2.0106999999880806],"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[-0.05249319811555451,-0.05039347019093233,-0.04829374226631015,-0.04619401434168797,-0.04409428641706579,-0.04199455849244361,-0.03989483056782143,-0.03779510264319925,-0.03569537471857707,-0.03359564679395489,-0.03149591886933271,-0.029396190944710528,-0.027296463020088348,-0.025196735095466168,-0.023097007170843988,-0.020997279246221807,-0.018897551321599627,-0.016797823396977447,-0.014698095472355267,-0.012598367547733087,-0.010498639623110907,-0.008398911698488727,-0.006299183773866547,-0.004199455849244367,-0.0020997279246221866,-6.071532165918825e-18,0.00209972792462217,0.004199455849244346,0.006299183773866523,0.0083989116984887,0.010498639623110876,0.012598367547733053,0.01469809547235523,0.016797823396977406,0.018897551321599582,0.02099727924622176,0.023097007170843935,0.025196735095466112,0.02729646302008829,0.029396190944710465,0.03149591886933264,0.03359564679395481,0.035695374718576985,0.03779510264319916,0.03989483056782133,0.041994558492443504,0.04409428641706568,0.04619401434168785,0.04829374226631002,0.050393470190932196,0.05249319811555437]","[-0.3,-0.27599999999999997,-0.25199999999999995,-0.22799999999999995,-0.20399999999999996,-0.17999999999999997,-0.15599999999999997,-0.13199999999999998,-0.10799999999999998,-0.08399999999999999,-0.05999999999999999,-0.03599999999999999,-0.01199999999999999,0.01200000000000001,0.03600000000000001,0.06000000000000001,0.08400000000000002,0.10800000000000001,0.132,0.156,0.18,0.204,0.22799999999999998,0.252,0.276,0.30000000000000004,0.276,0.252,0.228,0.20400000000000001,0.18000000000000002,0.15600000000000003,0.13200000000000003,0.10800000000000004,0.08400000000000005,0.060000000000000046,0.036000000000000046,0.012000000000000045,-0.011999999999999955,-0.035999999999999956,-0.059999999999999956,-0.08399999999999996,-0.10799999999999996,-0.13199999999999995,-0.15599999999999994,-0.17999999999999994,-0.20399999999999993,-0.22799999999999992,-0.25199999999999995,-0.27599999999999997,-0.3]","[0.05208333333333333,0.05208333333333333,0.05208333333333333,0.05208333333333333,0.05208333333333333,0.05208333333333333,0.05208333333333333,0.05208333333333333,0.05208333333333333,0.05208333333333333,0.05208333333333333,0.05208333333333333,0.05208333333333333,0.05208333333333333,0.05208333333333333,0.05208333333333333,0.05208333333333333,0.05208333333333333,0.05208333333333333,0.05208333333333333,0.05208333333333333,0.05208333333333333,0.05208333333333333,0.0515625,0.050520833333333334,0.04895833333333333,0.044270833333333336,0.0375,0.034895833333333334,0.034374999999999996,0.034374999999999996,0.034374999999999996,0.034374999999999996,0.034374999999999996,0.034374999999999996,0.034895833333333334,0.03645833333333333,0.041666666666666664,0.04791666666666666,0.05208333333333333,0.05260416666666667,0.05260416666666667,0.053125,0.05572916666666667,0.058854166666666666,0.060937500000000006,0.060937500000000006,0.06145833333333334,0.06145833333333334,0.0640625,0.06666666666666667]","[-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3]",85,0,1,hit,1,2,2,,0.04,0.052493198,0.0640625,-0.011569302,-6.07153E-18,0.3,hor,,,19.7537,[],[],[],[],[],[],0,1,1,0,1,0.4,,,,,
,1,1,1,2022-10-27_12h17.24.131,bounceV3,2022.2.4,Win32,61.05378839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1
,1,1,1,2022-10-27_12h17.24.131,bounceV3,2022.2.4,Win32,61.05378839,0.04,0,[-0.028703703703703703],[0.025],[1],[0],[0],[4.739599999964234],"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[0.05249319811555451,0.05039347019093233,0.04829374226631015,0.04619401434168797,0.04409428641706579,0.04199455849244361,0.03989483056782143,0.03779510264319925,0.03569537471857707,0.03359564679395489,0.03149591886933271,0.029396190944710528,0.027296463020088348,0.025196735095466168,0.023097007170843988,0.020997279246221807,0.018897551321599627,0.016797823396977447,0.014698095472355267,0.012598367547733087,0.010498639623110907,0.008398911698488727,0.006299183773866547,0.004199455849244367,0.0020997279246221866,6.071532165918825e-18,-0.00209972792462217,-0.004199455849244346,-0.006299183773866523,-0.0083989116984887,-0.010498639623110876,-0.012598367547733053,-0.01469809547235523,-0.016797823396977406,-0.018897551321599582,-0.02099727924622176,-0.023097007170843935,-0.025196735095466112,-0.02729646302008829,-0.029396190944710465,-0.03149591886933264,-0.03359564679395481,-0.035695374718576985,-0.03779510264319916,-0.03989483056782133,-0.041994558492443504,-0.04409428641706568,-0.04619401434168785,-0.04829374226631002,-0.050393470190932196,-0.05249319811555437]","[-0.3,-0.27599999999999997,-0.25199999999999995,-0.22799999999999995,-0.20399999999999996,-0.17999999999999997,-0.15599999999999997,-0.13199999999999998,-0.10799999999999998,-0.08399999999999999,-0.05999999999999999,-0.03599999999999999,-0.01199999999999999,0.01200000000000001,0.03600000000000001,0.06000000000000001,0.08400000000000002,0.10800000000000001,0.132,0.156,0.18,0.204,0.22799999999999998,0.252,0.276,0.30000000000000004,0.276,0.252,0.228,0.20400000000000001,0.18000000000000002,0.15600000000000003,0.13200000000000003,0.10800000000000004,0.08400000000000005,0.060000000000000046,0.036000000000000046,0.012000000000000045,-0.011999999999999955,-0.035999999999999956,-0.059999999999999956,-0.08399999999999996,-0.10799999999999996,-0.13199999999999995,-0.15599999999999994,-0.17999999999999994,-0.20399999999999993,-0.22799999999999992,-0.25199999999999995,-0.27599999999999997,-0.3]","[-0.01614583333333333,-0.01614583333333333,-0.01614583333333333,-0.01614583333333333,-0.01614583333333333,-0.01614583333333333,-0.01614583333333333,-0.01614583333333333,-0.01614583333333333,-0.01614583333333333,-0.01614583333333333,-0.01614583333333333,-0.01614583333333333,-0.01614583333333333,-0.01614583333333333,-0.01614583333333333,-0.01614583333333333,-0.01614583333333333,-0.01614583333333333,-0.01614583333333333,-0.01614583333333333,-0.01614583333333333,-0.01614583333333333,-0.014583333333333334,-0.011979166666666666,-0.009375,-0.008854166666666666,-0.008854166666666666,-0.008333333333333333,-0.00625,-0.003125,-0.0015625,-0.0015625,-0.0015625,-0.0020833333333333333,-0.0026041666666666665,-0.003125,-0.005208333333333333,-0.007291666666666667,-0.009895833333333335,-0.011458333333333334,-0.013020833333333332,-0.015104166666666667,-0.017708333333333333,-0.021354166666666667,-0.027604166666666666,-0.0359375,-0.043229166666666666,-0.04583333333333334,-0.04635416666666666,-0.04635416666666666]","[-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3]",-85,0,1,hit,1,1,3,,0.04,-0.052493198,-0.046354167,-0.006139031,6.07153E-18,0.3,hor,,,28.0859,[],[],[],[],[],[],0,0,0,0,1,0.4,,,,,
,1,1,1,2022-10-27_12h17.24.131,bounceV3,2022.2.4,Win32,61.05378839,,10,[-0.05925925925925926],[0.012037037037037037],[1],[0],[0],[0.6621999999880757],"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[0.21838214055972147,0.2096468549373326,0.20091156931494375,0.1921762836925549,0.18344099807016606,0.17470571244777722,0.16597042682538837,0.15723514120299953,0.14849985558061068,0.13976456995822184,0.131029284335833,0.12229399871344414,0.11355871309105528,0.10482342746866642,0.09608814184627756,0.0873528562238887,0.07861757060149985,0.06988228497911099,0.06114699935672213,0.05241171373433327,0.043676428111944415,0.03494114248955556,0.0262058568671667,0.01747057124477784,0.008735285622388983,1.249000902703301e-16,-0.008735285622388731,-0.017470571244777588,-0.026205856867166442,-0.0349411424895553,-0.04367642811194416,-0.05241171373433302,-0.061146999356721875,-0.06988228497911073,-0.07861757060149958,-0.08735285622388844,-0.0960881418462773,-0.10482342746866616,-0.11355871309105502,-0.12229399871344387,-0.13102928433583272,-0.13976456995822156,-0.1484998555806104,-0.15723514120299925,-0.1659704268253881,-0.17470571244777694,-0.18344099807016578,-0.19217628369255463,-0.20091156931494347,-0.20964685493733232,-0.21838214055972116]","[-0.3,-0.27599999999999997,-0.25199999999999995,-0.22799999999999995,-0.20399999999999996,-0.17999999999999997,-0.15599999999999997,-0.13199999999999998,-0.10799999999999998,-0.08399999999999999,-0.05999999999999999,-0.03599999999999999,-0.01199999999999999,0.01200000000000001,0.03600000000000001,0.06000000000000001,0.08400000000000002,0.10800000000000001,0.132,0.156,0.18,0.204,0.22799999999999998,0.252,0.276,0.30000000000000004,0.276,0.252,0.228,0.20400000000000001,0.18000000000000002,0.15600000000000003,0.13200000000000003,0.10800000000000004,0.08400000000000005,0.060000000000000046,0.036000000000000046,0.012000000000000045,-0.011999999999999955,-0.035999999999999956,-0.059999999999999956,-0.08399999999999996,-0.10799999999999996,-0.13199999999999995,-0.15599999999999994,-0.17999999999999994,-0.20399999999999993,-0.22799999999999992,-0.25199999999999995,-0.27599999999999997,-0.3]","[-0.03333333333333333,-0.03333333333333333,-0.03333333333333333,-0.03333333333333333,-0.03333333333333333,-0.03333333333333333,-0.03333333333333333,-0.03333333333333333,-0.03333333333333333,-0.03333333333333333,-0.03333333333333333,-0.03333333333333333,-0.03333333333333333,-0.03333333333333333,-0.03333333333333333,-0.03333333333333333,-0.03333333333333333,-0.03333333333333333,-0.03333333333333333,-0.03333333333333333,-0.03333333333333333,-0.03333333333333333,-0.03333333333333333,-0.03333333333333333,-0.03333333333333333,-0.03333333333333333,-0.03333333333333333,-0.034374999999999996,-0.03697916666666667,-0.040624999999999994,-0.045312500000000006,-0.050520833333333334,-0.058333333333333334,-0.06874999999999999,-0.0796875,-0.08802083333333333,-0.09479166666666666,-0.10260416666666666,-0.11354166666666668,-0.12552083333333333,-0.13489583333333333,-0.1421875,-0.14635416666666667,-0.15416666666666667,-0.16822916666666665,-0.1859375,-0.19947916666666665,-0.2078125,-0.209375,-0.209375,-0.20989583333333334]","[-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3]",-70,0,1,hit,1,2,3,,0.04,-0.218382141,-0.209375,-0.009007141,1.249E-16,0.3,hor,,,29.5861,[],[],[],[],[],[],0,1,1,1,1,5,,,,,
,1,1,1,2022-10-27_12h17.24.131,bounceV3,2022.2.4,Win32,61.05378839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,1
