Browser,participant,Group,Day,date,expName,psychopyVersion,OS,frameRate,hitPercent,pointsGiven,fixMouse.x,fixMouse.y,fixMouse.leftButton,fixMouse.midButton,fixMouse.rightButton,fixMouse.time,bounceDirArr,ballPosX,ballPosY,paddlePosX,paddlePosY,alphaChoice,pertChoice,horOrTilt,hitOrMiss,trialType,trialsNum,tasksNum,trialRepeat,ballSpeed,interceptBall,interceptPaddle,interceptDelta,wallBounceX,wallBounceY,wallOrient,connectTime,bounceTime,cumulativetime,trialMouse.x,trialMouse.y,trialMouse.leftButton,trialMouse.midButton,trialMouse.rightButton,trialMouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Sound,tasks.thisRepN,tasks.thisTrialN,tasks.thisN,tasks.thisIndex,tasks.ran
Chrome,1,2,1,2022-10-27_12h19.19.950,bounceV3,2022.2.4,Win32,60.28090904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,1,2022-10-27_12h19.19.950,bounceV3,2022.2.4,Win32,60.28090904,2,0,[],[],[],[],[],[],"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[0.10579618842507904,0.10156434088807588,0.09733249335107272,0.09310064581406956,0.0888687982770664,0.08463695074006324,0.08040510320306007,0.07617325566605691,0.07194140812905375,0.06770956059205059,0.06347771305504743,0.05924586551804427,0.05501401798104111,0.05078217044403795,0.046550322907034786,0.042318475370031625,0.038086627833028464,0.0338547802960253,0.02962293275902214,0.02539108522201898,0.02115923768501582,0.016927390148012658,0.012695542611009497,0.008463695074006336,0.004231847537003174,1.214306433183765e-17,-0.004231847537003147,-0.008463695074006307,-0.012695542611009466,-0.016927390148012623,-0.021159237685015785,-0.025391085222018946,-0.029622932759022107,-0.03385478029602527,-0.03808662783302843,-0.04231847537003159,-0.04655032290703475,-0.05078217044403791,-0.05501401798104107,-0.059245865518044234,-0.06347771305504739,-0.06770956059205055,-0.07194140812905371,-0.07617325566605687,-0.08040510320306003,-0.0846369507400632,-0.08886879827706635,-0.09310064581406952,-0.09733249335107268,-0.10156434088807584,-0.105796188425079]","[-0.3,-0.27599999999999997,-0.25199999999999995,-0.22799999999999995,-0.20399999999999996,-0.17999999999999997,-0.15599999999999997,-0.13199999999999998,-0.10799999999999998,-0.08399999999999999,-0.05999999999999999,-0.03599999999999999,-0.01199999999999999,0.01200000000000001,0.03600000000000001,0.06000000000000001,0.08400000000000002,0.10800000000000001,0.132,0.156,0.18,0.204,0.22799999999999998,0.252,0.276,0.30000000000000004,0.276,0.252,0.228,0.20400000000000001,0.18000000000000002,0.15600000000000003,0.13200000000000003,0.10800000000000004,0.08400000000000005,0.060000000000000046,0.036000000000000046,0.012000000000000045,-0.011999999999999955,-0.035999999999999956,-0.059999999999999956,-0.08399999999999996,-0.10799999999999996,-0.13199999999999995,-0.15599999999999994,-0.17999999999999994,-0.20399999999999993,-0.22799999999999992,-0.25199999999999995,-0.27599999999999997,-0.3]","[0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49947916666666664,0.49895833333333334,0.49322916666666666,0.4828125,0.4630208333333333,0.44791666666666663,0.4411458333333333,0.434375,0.4234375,0.4041666666666667,0.3640625,0.30833333333333335,0.25104166666666666,0.19270833333333334,0.14479166666666668,0.10989583333333333,0.08072916666666667,0.05677083333333334,0.03697916666666667,0.013020833333333332,-0.014583333333333334,-0.03958333333333334,-0.07239583333333334,-0.09895833333333334,-0.11875,-0.13802083333333334,-0.15625,-0.17343750000000002,-0.1859375,-0.19062500000000002,-0.19062500000000002,-0.19010416666666666,-0.18854166666666666,-0.18802083333333333,-0.1875,-0.1875,-0.18645833333333334,-0.17708333333333334,-0.16249999999999998,-0.146875]","[-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3]",-80,0,2,hit,1,1,1,,0.04,-0.105796188,-0.1625,0.056703812,1.21431E-17,0.3,hor,,,5.116,[],[],[],[],[],[],0,0,0,1,1,5,,,,,
,1,2,1,2022-10-27_12h19.19.950,bounceV3,2022.2.4,Win32,60.28090904,,5,[],[],[],[],[],[],"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[-0.10579618842507904,-0.10156434088807588,-0.09733249335107272,-0.09310064581406956,-0.0888687982770664,-0.08463695074006324,-0.08040510320306007,-0.07617325566605691,-0.07194140812905375,-0.06770956059205059,-0.06347771305504743,-0.05924586551804427,-0.05501401798104111,-0.05078217044403795,-0.046550322907034786,-0.042318475370031625,-0.038086627833028464,-0.0338547802960253,-0.02962293275902214,-0.02539108522201898,-0.02115923768501582,-0.016927390148012658,-0.012695542611009497,-0.008463695074006336,-0.004231847537003174,-1.214306433183765e-17,0.004231847537003147,0.008463695074006307,0.012695542611009466,0.016927390148012623,0.021159237685015785,0.025391085222018946,0.029622932759022107,0.03385478029602527,0.03808662783302843,0.04231847537003159,0.04655032290703475,0.05078217044403791,0.05501401798104107,0.059245865518044234,0.06347771305504739,0.06770956059205055,0.07194140812905371,0.07617325566605687,0.08040510320306003,0.0846369507400632,0.08886879827706635,0.09310064581406952,0.09733249335107268,0.10156434088807584,0.105796188425079,0.11002803596208216,0.11425988349908532,0.11849173103608848,0.12272357857309164,0.1269554261100948,0.13118727364709795,0.1354191211841011,0.13965096872110425,0.1438828162581074,0.14811466379511054,0.1523465113321137,0.15657835886911683,0.16081020640611998,0.16504205394312313,0.16927390148012628,0.17350574901712942,0.17773759655413257,0.18196944409113572,0.18620129162813887,0.190433139165142,0.19466498670214516,0.1988968342391483,0.20312868177615145,0.2073605293131546,0.21159237685015775,0.2158242243871609,0.22005607192416404,0.2242879194611672,0.22851976699817034,0.23275161453517348]","[-0.3,-0.27599999999999997,-0.25199999999999995,-0.22799999999999995,-0.20399999999999996,-0.17999999999999997,-0.15599999999999997,-0.13199999999999998,-0.10799999999999998,-0.08399999999999999,-0.05999999999999999,-0.03599999999999999,-0.01199999999999999,0.01200000000000001,0.03600000000000001,0.06000000000000001,0.08400000000000002,0.10800000000000001,0.132,0.156,0.18,0.204,0.22799999999999998,0.252,0.276,0.30000000000000004,0.276,0.252,0.228,0.20400000000000001,0.18000000000000002,0.15600000000000003,0.13200000000000003,0.10800000000000004,0.08400000000000005,0.060000000000000046,0.036000000000000046,0.012000000000000045,-0.011999999999999955,-0.035999999999999956,-0.059999999999999956,-0.08399999999999996,-0.10799999999999996,-0.13199999999999995,-0.15599999999999994,-0.17999999999999994,-0.20399999999999993,-0.22799999999999992,-0.25199999999999995,-0.27599999999999997,-0.3,-0.324,-0.34800000000000003,-0.37200000000000005,-0.3960000000000001,-0.4200000000000001,-0.4440000000000001,-0.46800000000000014,-0.49200000000000016,-0.5160000000000001,-0.5400000000000001,-0.5640000000000002,-0.5880000000000002,-0.6120000000000002,-0.6360000000000002,-0.6600000000000003,-0.6840000000000003,-0.7080000000000003,-0.7320000000000003,-0.7560000000000003,-0.7800000000000004,-0.8040000000000004,-0.8280000000000004,-0.8520000000000004,-0.8760000000000004,-0.9000000000000005,-0.9240000000000005,-0.9480000000000005,-0.9720000000000005,-0.9960000000000006,-1.0200000000000005]","[-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.49895833333333334,-0.49895833333333334,-0.49739583333333337,-0.4916666666666667,-0.48020833333333335,-0.46249999999999997,-0.43072916666666666,-0.3833333333333333,-0.3286458333333333,-0.265625,-0.20260416666666664,-0.1453125,-0.10104166666666667,-0.06197916666666667,-0.029166666666666667,0.0067708333333333336,0.042187499999999996,0.07083333333333333,0.09739583333333332,0.11927083333333333,0.13229166666666667,0.1390625,0.14479166666666668,0.15260416666666668,0.16510416666666666,0.1796875,0.19062500000000002,0.19322916666666665,0.19322916666666665,0.18854166666666666,0.17812499999999998,0.171875,0.17135416666666667,0.17135416666666667,0.17083333333333334,0.16979166666666667,0.165625,0.1578125,0.14895833333333336,0.13958333333333334,0.12708333333333333,0.109375,0.09375,0.08906249999999999,0.08906249999999999,0.08906249999999999,0.08906249999999999,0.08906249999999999,0.08906249999999999,0.08906249999999999,0.08906249999999999,0.08906249999999999,0.08906249999999999,0.08906249999999999,0.08906249999999999,0.08906249999999999,0.08906249999999999,0.08906249999999999,0.08854166666666667,0.0859375,0.0796875,0.071875,0.06666666666666667,0.06041666666666667,0.05]","[-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3]",80,0,2,miss,1,2,1,,0.04,0.105796188,0.171354167,-0.065557978,-1.21431E-17,0.3,hor,,,9.765,[],[],[],[],[],[],0,1,1,0,1,0.4,,,,,
,1,2,1,2022-10-27_12h19.19.950,bounceV3,2022.2.4,Win32,60.28090904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
,1,2,1,2022-10-27_12h19.19.950,bounceV3,2022.2.4,Win32,60.28090904,0.02,0,[-0.09722222222222222],[0.10185185185185185],[1],[0],[0],[3.7399999999999984],"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[-0.05249319811555451,-0.05039347019093233,-0.04829374226631015,-0.04619401434168797,-0.04409428641706579,-0.04199455849244361,-0.03989483056782143,-0.03779510264319925,-0.03569537471857707,-0.03359564679395489,-0.03149591886933271,-0.029396190944710528,-0.027296463020088348,-0.025196735095466168,-0.023097007170843988,-0.020997279246221807,-0.018897551321599627,-0.016797823396977447,-0.014698095472355267,-0.012598367547733087,-0.010498639623110907,-0.008398911698488727,-0.006299183773866547,-0.004199455849244367,-0.0020997279246221866,-6.071532165918825e-18,0.00209972792462217,0.004199455849244346,0.006299183773866523,0.0083989116984887,0.010498639623110876,0.012598367547733053,0.01469809547235523,0.016797823396977406,0.018897551321599582,0.02099727924622176,0.023097007170843935,0.025196735095466112,0.02729646302008829,0.029396190944710465,0.03149591886933264,0.03359564679395481,0.035695374718576985,0.03779510264319916,0.03989483056782133,0.041994558492443504,0.04409428641706568,0.04619401434168785,0.04829374226631002,0.050393470190932196,0.05249319811555437]","[-0.3,-0.27599999999999997,-0.25199999999999995,-0.22799999999999995,-0.20399999999999996,-0.17999999999999997,-0.15599999999999997,-0.13199999999999998,-0.10799999999999998,-0.08399999999999999,-0.05999999999999999,-0.03599999999999999,-0.01199999999999999,0.01200000000000001,0.03600000000000001,0.06000000000000001,0.08400000000000002,0.10800000000000001,0.132,0.156,0.18,0.204,0.22799999999999998,0.252,0.276,0.30000000000000004,0.276,0.252,0.228,0.20400000000000001,0.18000000000000002,0.15600000000000003,0.13200000000000003,0.10800000000000004,0.08400000000000005,0.060000000000000046,0.036000000000000046,0.012000000000000045,-0.011999999999999955,-0.035999999999999956,-0.059999999999999956,-0.08399999999999996,-0.10799999999999996,-0.13199999999999995,-0.15599999999999994,-0.17999999999999994,-0.20399999999999993,-0.22799999999999992,-0.25199999999999995,-0.27599999999999997,-0.3]","[-0.0546875,-0.0546875,-0.0546875,-0.0546875,-0.0546875,-0.0546875,-0.0546875,-0.0546875,-0.0546875,-0.0546875,-0.0546875,-0.0546875,-0.0546875,-0.0546875,-0.0546875,-0.0546875,-0.0546875,-0.0546875,-0.0546875,-0.0546875,-0.0546875,-0.0546875,-0.0546875,-0.05208333333333333,-0.04791666666666666,-0.04375,-0.0375,-0.0265625,-0.009895833333333335,0.008854166666666666,0.027083333333333334,0.04375,0.059895833333333336,0.075,0.0875,0.09531250000000001,0.1,0.1046875,0.1078125,0.10885416666666665,0.10885416666666665,0.10885416666666665,0.10885416666666665,0.10885416666666665,0.10833333333333334,0.1078125,0.10729166666666666,0.10572916666666667,0.10052083333333334,0.08854166666666667,0.07552083333333334]","[-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3]",85,0,2,hit,1,1,2,,0.04,0.052493198,0.088541667,-0.036048469,-6.07153E-18,0.3,hor,,,15.2479,[],[],[],[],[],[],0,0,0,0,1,0.4,,,,,
,1,2,1,2022-10-27_12h19.19.950,bounceV3,2022.2.4,Win32,60.28090904,,5,[0.0712962962962963],[0.08055555555555556],[1],[0],[0],[0.5819999999999972],"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[-0.05249319811555451,-0.05039347019093233,-0.04829374226631015,-0.04619401434168797,-0.04409428641706579,-0.04199455849244361,-0.03989483056782143,-0.03779510264319925,-0.03569537471857707,-0.03359564679395489,-0.03149591886933271,-0.029396190944710528,-0.027296463020088348,-0.025196735095466168,-0.023097007170843988,-0.020997279246221807,-0.018897551321599627,-0.016797823396977447,-0.014698095472355267,-0.012598367547733087,-0.010498639623110907,-0.008398911698488727,-0.006299183773866547,-0.004199455849244367,-0.0020997279246221866,-6.071532165918825e-18,0.00209972792462217,0.004199455849244346,0.006299183773866523,0.0083989116984887,0.010498639623110876,0.012598367547733053,0.01469809547235523,0.016797823396977406,0.018897551321599582,0.02099727924622176,0.023097007170843935,0.025196735095466112,0.02729646302008829,0.029396190944710465,0.03149591886933264,0.03359564679395481,0.035695374718576985,0.03779510264319916,0.03989483056782133,0.041994558492443504,0.04409428641706568,0.04619401434168785,0.04829374226631002,0.050393470190932196,0.05249319811555437]","[-0.3,-0.27599999999999997,-0.25199999999999995,-0.22799999999999995,-0.20399999999999996,-0.17999999999999997,-0.15599999999999997,-0.13199999999999998,-0.10799999999999998,-0.08399999999999999,-0.05999999999999999,-0.03599999999999999,-0.01199999999999999,0.01200000000000001,0.03600000000000001,0.06000000000000001,0.08400000000000002,0.10800000000000001,0.132,0.156,0.18,0.204,0.22799999999999998,0.252,0.276,0.30000000000000004,0.276,0.252,0.228,0.20400000000000001,0.18000000000000002,0.15600000000000003,0.13200000000000003,0.10800000000000004,0.08400000000000005,0.060000000000000046,0.036000000000000046,0.012000000000000045,-0.011999999999999955,-0.035999999999999956,-0.059999999999999956,-0.08399999999999996,-0.10799999999999996,-0.13199999999999995,-0.15599999999999994,-0.17999999999999994,-0.20399999999999993,-0.22799999999999992,-0.25199999999999995,-0.27599999999999997,-0.3]","[0.04010416666666667,0.04010416666666667,0.04010416666666667,0.04010416666666667,0.04010416666666667,0.04010416666666667,0.04010416666666667,0.04010416666666667,0.04010416666666667,0.03958333333333334,0.03958333333333334,0.0390625,0.0390625,0.03854166666666667,0.03854166666666667,0.03802083333333334,0.03802083333333334,0.0375,0.0375,0.03697916666666667,0.03697916666666667,0.0359375,0.033854166666666664,0.029166666666666667,0.021354166666666667,0.0125,0.0036458333333333334,0,-0.0020833333333333333,-0.0036458333333333334,-0.004166666666666667,-0.004166666666666667,-0.004166666666666667,-0.004166666666666667,-0.0036458333333333334,-0.003125,-0.003125,0.0005208333333333333,0.0109375,0.02291666666666667,0.033854166666666664,0.0375,0.0375,0.0390625,0.04375,0.04895833333333333,0.053125,0.05364583333333333,0.05416666666666667,0.058333333333333334,0.06666666666666667]","[-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3]",85,0,2,hit,1,2,2,,0.04,0.052493198,0.058333333,-0.005840135,-6.07153E-18,0.3,hor,,,16.6641,[],[],[],[],[],[],0,1,1,1,1,5,,,,,
,1,2,1,2022-10-27_12h19.19.950,bounceV3,2022.2.4,Win32,60.28090904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1
