Browser,participant,date,expName,psychopyVersion,OS,frameRate,hitPercent,pointsGiven,fixMouse.x,fixMouse.y,fixMouse.leftButton,fixMouse.midButton,fixMouse.rightButton,fixMouse.time,bounceDirArr,ballPosX,ballPosY,paddlePosX,paddlePosY,alphaChoice,pertChoice,horOrTilt,hitOrMiss,trialType,trialsNum,tasksNum,trialRepeat,ballSpeed,interceptBall,interceptPaddle,interceptDelta,wallBounceX,wallBounceY,wallOrient,connectTime,bounceTime,cumulativetime,trialMouse.x,trialMouse.y,trialMouse.leftButton,trialMouse.midButton,trialMouse.rightButton,trialMouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
Chrome,1,2022-10-27_15h47.36.736,bounceV3,2022.2.4,Win32,60.84945844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2022-10-27_15h47.36.736,bounceV3,2022.2.4,Win32,60.84945844,2,0,[],[],[],[],[],[],"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[-0.21838214055972147,-0.2096468549373326,-0.20091156931494375,-0.1921762836925549,-0.18344099807016606,-0.17470571244777722,-0.16597042682538837,-0.15723514120299953,-0.14849985558061068,-0.13976456995822184,-0.131029284335833,-0.12229399871344414,-0.11355871309105528,-0.10482342746866642,-0.09608814184627756,-0.0873528562238887,-0.07861757060149985,-0.06988228497911099,-0.06114699935672213,-0.05241171373433327,-0.043676428111944415,-0.03494114248955556,-0.0262058568671667,-0.01747057124477784,-0.008735285622388983,-1.249000902703301e-16,0.018750855036161092,0.03750171007232231,0.056252565108483525,0.07500342014464474,0.09375427518080595,0.11250513021696718,0.1312559852531284,0.15000684028928962,0.16875769532545085,0.18750855036161207,0.2062594053977733,0.22501026043393452,0.24376111547009574,0.26251197050625696,0.28126282554241816,0.30001368057857936,0.31876453561474055,0.33751539065090175,0.35626624568706294,0.37501710072322414,0.39376795575938534,0.41251881079554653,0.4312696658317077,0.4500205208678689,0.4687713759040301]","[-0.3,-0.27599999999999997,-0.25199999999999995,-0.22799999999999995,-0.20399999999999996,-0.17999999999999997,-0.15599999999999997,-0.13199999999999998,-0.10799999999999998,-0.08399999999999999,-0.05999999999999999,-0.03599999999999999,-0.01199999999999999,0.01200000000000001,0.03600000000000001,0.06000000000000001,0.08400000000000002,0.10800000000000001,0.132,0.156,0.18,0.204,0.22799999999999998,0.252,0.276,0.30000000000000004,0.276,0.252,0.228,0.20400000000000001,0.18000000000000002,0.15600000000000003,0.13200000000000003,0.10800000000000004,0.08400000000000005,0.060000000000000046,0.036000000000000046,0.012000000000000045,-0.011999999999999955,-0.035999999999999956,-0.059999999999999956,-0.08399999999999996,-0.10799999999999996,-0.13199999999999995,-0.15599999999999994,-0.17999999999999994,-0.20399999999999993,-0.22799999999999992,-0.25199999999999995,-0.27599999999999997,-0.3]","[-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.49739583333333337,-0.4901041666666667,-0.47760416666666666,-0.4578125,-0.4317708333333333,-0.39479166666666665,-0.35,-0.303125,-0.2572916666666667,-0.21302083333333333,-0.16249999999999998,-0.10572916666666667,-0.04635416666666666,0.007291666666666667,0.05260416666666667,0.0984375,0.14114583333333333,0.17708333333333334,0.20729166666666668,0.23333333333333334,0.2526041666666667,0.27395833333333336,0.29583333333333334,0.3203125,0.3380208333333334,0.3489583333333333,0.3645833333333333,0.3828125,0.3932291666666667,0.39531249999999996,0.39687500000000003,0.409375,0.42604166666666665,0.4369791666666667,0.4401041666666667]","[-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3]",70,9,0,hit,2,1,1,,0.04,0.468771376,0.436979167,0.031792209,-1.249E-16,0.3,hor,,,3.7124,[],[],[],[],[],[],0,0,0,0,1
,1,2022-10-27_15h47.36.736,bounceV3,2022.2.4,Win32,60.84945844,,5,[0.48869752421959095],[0.1480086114101184],[1],[0],[0],[3.5811999999880797],"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[0.05249319811555451,0.05039347019093233,0.04829374226631015,0.04619401434168797,0.04409428641706579,0.04199455849244361,0.03989483056782143,0.03779510264319925,0.03569537471857707,0.03359564679395489,0.03149591886933271,0.029396190944710528,0.027296463020088348,0.025196735095466168,0.023097007170843988,0.020997279246221807,0.018897551321599627,0.016797823396977447,0.014698095472355267,0.012598367547733087,0.010498639623110907,0.008398911698488727,0.006299183773866547,0.004199455849244367,0.0020997279246221866,6.071532165918825e-18,-0.01018739558903051,-0.020374791178061027,-0.03056218676709154,-0.040749582356122055,-0.05093697794515257,-0.06112437353418308,-0.0713117691232136,-0.08149916471224412,-0.09168656030127464,-0.10187395589030517,-0.11206135147933569,-0.1222487470683662,-0.13243614265739673,-0.14262353824642723,-0.15281093383545774,-0.16299832942448825,-0.17318572501351875,-0.18337312060254926,-0.19356051619157977,-0.20374791178061027,-0.21393530736964078,-0.2241227029586713,-0.2343100985477018,-0.2444974941367323,-0.2546848897257628,-0.26487228531479334,-0.2750596809038239,-0.2852470764928544,-0.29543447208188495,-0.3056218676709155,-0.315809263259946,-0.32599665884897655,-0.3361840544380071,-0.3463714500270376,-0.35655884561606815,-0.3667462412050987,-0.3769336367941292,-0.38712103238315976,-0.3973084279721903,-0.4074958235612208,-0.41768321915025136,-0.4278706147392819,-0.43805801032831243,-0.44824540591734297,-0.4584328015063735,-0.46862019709540403,-0.47880759268443457,-0.4889949882734651,-0.49918238386249564,-0.5093697794515262,-0.5195571750405567,-0.5297445706295871,-0.5399319662186176,-0.5501193618076481,-0.5603067573966786]","[-0.3,-0.27599999999999997,-0.25199999999999995,-0.22799999999999995,-0.20399999999999996,-0.17999999999999997,-0.15599999999999997,-0.13199999999999998,-0.10799999999999998,-0.08399999999999999,-0.05999999999999999,-0.03599999999999999,-0.01199999999999999,0.01200000000000001,0.03600000000000001,0.06000000000000001,0.08400000000000002,0.10800000000000001,0.132,0.156,0.18,0.204,0.22799999999999998,0.252,0.276,0.30000000000000004,0.276,0.252,0.228,0.20400000000000001,0.18000000000000002,0.15600000000000003,0.13200000000000003,0.10800000000000004,0.08400000000000005,0.060000000000000046,0.036000000000000046,0.012000000000000045,-0.011999999999999955,-0.035999999999999956,-0.059999999999999956,-0.08399999999999996,-0.10799999999999996,-0.13199999999999995,-0.15599999999999994,-0.17999999999999994,-0.20399999999999993,-0.22799999999999992,-0.25199999999999995,-0.27599999999999997,-0.3,-0.324,-0.34800000000000003,-0.37200000000000005,-0.3960000000000001,-0.4200000000000001,-0.4440000000000001,-0.46800000000000014,-0.49200000000000016,-0.5160000000000001,-0.5400000000000001,-0.5640000000000002,-0.5880000000000002,-0.6120000000000002,-0.6360000000000002,-0.6600000000000003,-0.6840000000000003,-0.7080000000000003,-0.7320000000000003,-0.7560000000000003,-0.7800000000000004,-0.8040000000000004,-0.8280000000000004,-0.8520000000000004,-0.8760000000000004,-0.9000000000000005,-0.9240000000000005,-0.9480000000000005,-0.9720000000000005,-0.9960000000000006,-1.0200000000000005]","[0.23645833333333333,0.23645833333333333,0.23645833333333333,0.23645833333333333,0.23645833333333333,0.23645833333333333,0.23645833333333333,0.23645833333333333,0.23645833333333333,0.23645833333333333,0.23645833333333333,0.23645833333333333,0.23645833333333333,0.23645833333333333,0.23645833333333333,0.23645833333333333,0.23645833333333333,0.23645833333333333,0.23645833333333333,0.23645833333333333,0.23645833333333333,0.23645833333333333,0.23645833333333333,0.2348958333333333,0.23072916666666665,0.22656249999999997,0.22499999999999998,0.22395833333333334,0.22239583333333332,0.2208333333333333,0.22031249999999997,0.22031249999999997,0.21822916666666667,0.2125,0.20572916666666663,0.19947916666666665,0.18489583333333334,0.15885416666666666,0.11979166666666666,0.07604166666666667,0.03802083333333334,-0.00625,-0.057291666666666664,-0.10625,-0.16822916666666665,-0.20520833333333333,-0.2421875,-0.2796875,-0.3078125,-0.3182291666666666,-0.3182291666666666,-0.3182291666666666,-0.3182291666666666,-0.3182291666666666,-0.3182291666666666,-0.3182291666666666,-0.3182291666666666,-0.3182291666666666,-0.3182291666666666,-0.3182291666666666,-0.3177083333333333,-0.31718749999999996,-0.31718749999999996,-0.31666666666666665,-0.3161458333333333,-0.31510416666666663,-0.3104166666666667,-0.3015625,-0.29010416666666666,-0.2755208333333333,-0.25625000000000003,-0.22135416666666666,-0.16979166666666665,-0.13906249999999998,-0.13906249999999998,-0.13906249999999998,-0.13906249999999998,-0.13906249999999998,-0.13906249999999998,-0.13906249999999998,-0.13906249999999998]","[-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3]",-85,-9,0,miss,2,2,1,,0.04,-0.25468489,-0.318229167,0.063544277,6.07153E-18,0.3,hor,,,8.6278,[],[],[],[],[],[],1,0,1,0,1
